;Number of Data;Title;Authors;Source;Year;T (K);p (kPa);xC2H6;xC3H8;xCO2;xCH4;xN2;xC4H10;xH2S;C2H6;C3H8;H2O in Aqueous Liquid;Nonpolar Liquid;H2O in Hydrate;Vapor;H2O in Hydrate sII;H2O in Hydrate sI;CO2;C4H10;Ice;N2;CH4;H2S
308;Dataset 691;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;284.4;2833.7;0.0;0.0;0.602;0.0;0.0;0.0;0.0;1;0;1;0;1;1;0;0;1;0;0;0;0;0
309;Dataset 691;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;274.2;1041.1;0.0;0.0;0.807;0.0;0.0;0.0;0.0;1;0;1;0;1;1;0;0;1;0;0;0;0;0
310;Dataset 691;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;276.0;1344.5;0.0;0.0;0.836;0.0;0.0;0.0;0.0;1;0;1;0;1;1;0;0;1;0;0;0;0;0
311;Dataset 691;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;277.5;1613.4;0.0;0.0;0.833;0.0;0.0;0.0;0.0;1;0;1;0;1;1;0;0;1;0;0;0;0;0
312;Dataset 691;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;279.4;1958.1;0.0;0.0;0.821;0.0;0.0;0.0;0.0;1;0;1;0;1;1;0;0;1;0;0;0;0;0
313;Dataset 691;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;281.0;2406.3;0.0;0.0;0.8170000000000001;0.0;0.0;0.0;0.0;1;0;1;0;1;1;0;0;1;0;0;0;0;0
314;Dataset 691;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;283.0;3150.9;0.0;0.0;0.8190000000000001;0.0;0.0;0.0;0.0;1;0;1;0;1;1;0;0;1;0;0;0;0;0
315;Dataset 691;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;284.6;3785.2;0.0;0.0;0.8140000000000001;0.0;0.0;0.0;0.0;1;0;1;0;1;1;0;0;1;0;0;0;0;0
316;Dataset 691;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;273.9;1199.7;0.0;0.0;0.934;0.0;0.0;0.0;0.0;1;0;1;0;1;1;0;0;1;0;0;0;0;0
317;Dataset 691;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;275.6;1482.4;0.0;0.0;0.932;0.0;0.0;0.0;0.0;1;0;1;0;1;1;0;0;1;0;0;0;0;0
318;Dataset 691;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;277.6;1847.8;0.0;0.0;0.9259999999999999;0.0;0.0;0.0;0.0;1;0;1;0;1;1;0;0;1;0;0;0;0;0
319;Dataset 691;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;279.2;2220.1;0.0;0.0;0.924;0.0;0.0;0.0;0.0;1;0;1;0;1;1;0;0;1;0;0;0;0;0
320;Dataset 691;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;281.2;2833.7;0.0;0.0;0.9229999999999999;0.0;0.0;0.0;0.0;1;0;1;0;1;1;0;0;1;0;0;0;0;0
321;Dataset 691;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;273.7;1241.1;0.0;0.0;0.965;0.0;0.0;0.0;0.0;1;0;1;0;1;1;0;0;1;0;0;0;0;0
322;Dataset 691;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;275.2;1482.4;0.0;0.0;0.9620000000000001;0.0;0.0;0.0;0.0;1;0;1;0;1;1;0;0;1;0;0;0;0;0
323;Dataset 691;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;276.7;1758.2;0.0;0.0;0.961;0.0;0.0;0.0;0.0;1;0;1;0;1;1;0;0;1;0;0;0;0;0
324;Dataset 691;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;278.6;2220.1;0.0;0.0;0.955;0.0;0.0;0.0;0.0;1;0;1;0;1;1;0;0;1;0;0;0;0;0
325;Dataset 691;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;280.6;2854.4;0.0;0.0;0.9570000000000001;0.0;0.0;0.0;0.0;1;0;1;0;1;1;0;0;1;0;0;0;0;0
326;Dataset 691;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;281.8;3357.7;0.0;0.0;0.966;0.0;0.0;0.0;0.0;1;0;1;0;1;1;0;0;1;0;0;0;0;0
327;Dataset 691;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;283.1;4081.7;0.0;0.0;0.9670000000000001;0.0;0.0;0.0;0.0;1;0;1;0;1;1;0;0;1;0;0;0;0;0
481;Dataset 333;Hydrate Euilibria for Binary and Ternary Mixtures of Methane, Propane, Isobutane, and n-Butane: Effect of Salinity;Paranjpe, S. G., Patil, S. L., Kamath, V. A. and Godbole, S. P.;Spe Reservoir Engineering, 446-454;1989;275.25;231.0;0.0;0.11199999999999999;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;1;0;0;0;1;0;0;0;0
482;Dataset 333;Hydrate Euilibria for Binary and Ternary Mixtures of Methane, Propane, Isobutane, and n-Butane: Effect of Salinity;Paranjpe, S. G., Patil, S. L., Kamath, V. A. and Godbole, S. P.;Spe Reservoir Engineering, 446-454;1989;275.85;282.7;0.0;0.271;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;1;0;0;0;1;0;0;0;0
483;Dataset 333;Hydrate Euilibria for Binary and Ternary Mixtures of Methane, Propane, Isobutane, and n-Butane: Effect of Salinity;Paranjpe, S. G., Patil, S. L., Kamath, V. A. and Godbole, S. P.;Spe Reservoir Engineering, 446-454;1989;276.55;355.1;0.0;0.475;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;1;0;0;0;1;0;0;0;0
484;Dataset 333;Hydrate Euilibria for Binary and Ternary Mixtures of Methane, Propane, Isobutane, and n-Butane: Effect of Salinity;Paranjpe, S. G., Patil, S. L., Kamath, V. A. and Godbole, S. P.;Spe Reservoir Engineering, 446-454;1989;276.65;365.4;0.0;0.488;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;1;0;0;0;1;0;0;0;0
485;Dataset 333;Hydrate Euilibria for Binary and Ternary Mixtures of Methane, Propane, Isobutane, and n-Butane: Effect of Salinity;Paranjpe, S. G., Patil, S. L., Kamath, V. A. and Godbole, S. P.;Spe Reservoir Engineering, 446-454;1989;277.15;426.1;0.0;0.653;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;1;0;0;0;1;0;0;0;0
486;Dataset 333;Hydrate Euilibria for Binary and Ternary Mixtures of Methane, Propane, Isobutane, and n-Butane: Effect of Salinity;Paranjpe, S. G., Patil, S. L., Kamath, V. A. and Godbole, S. P.;Spe Reservoir Engineering, 446-454;1989;277.85;490.0;0.0;0.794;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;1;0;0;0;1;0;0;0;0
487;Dataset 71;THE HYDRATES OF PROPANE/N-BUTANE, PROPANE/TRANS-2-BUTENE, PROPANE/ISOBUTANE, CIS-2-BUTENE AND TRANS-2-BUTENE BELOW THE ICE POINT;Kamath, V. A. and Holder, G. D.[Gerald D.];Annual AIChE Meeting, Los Angeles, CA, November;1982;272.12;101.33;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;0;0;0;1;1;0;0;1;1;0;0;0
488;Dataset 71;THE HYDRATES OF PROPANE/N-BUTANE, PROPANE/TRANS-2-BUTENE, PROPANE/ISOBUTANE, CIS-2-BUTENE AND TRANS-2-BUTENE BELOW THE ICE POINT;Kamath, V. A. and Holder, G. D.[Gerald D.];Annual AIChE Meeting, Los Angeles, CA, November;1982;272.23;108.22;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0;1;0;0;0;1;1;0;0;1;1;0;0;0
489;Dataset 71;THE HYDRATES OF PROPANE/N-BUTANE, PROPANE/TRANS-2-BUTENE, PROPANE/ISOBUTANE, CIS-2-BUTENE AND TRANS-2-BUTENE BELOW THE ICE POINT;Kamath, V. A. and Holder, G. D.[Gerald D.];Annual AIChE Meeting, Los Angeles, CA, November;1982;272.23;108.54;0.0;0.126;0.0;0.0;0.0;0.0;0.0;0;1;0;0;0;1;1;0;0;1;1;0;0;0
490;Dataset 71;THE HYDRATES OF PROPANE/N-BUTANE, PROPANE/TRANS-2-BUTENE, PROPANE/ISOBUTANE, CIS-2-BUTENE AND TRANS-2-BUTENE BELOW THE ICE POINT;Kamath, V. A. and Holder, G. D.[Gerald D.];Annual AIChE Meeting, Los Angeles, CA, November;1982;272.23;123.96;0.0;0.507;0.0;0.0;0.0;0.0;0.0;0;1;0;0;0;1;1;0;0;1;1;0;0;0
491;Dataset 71;THE HYDRATES OF PROPANE/N-BUTANE, PROPANE/TRANS-2-BUTENE, PROPANE/ISOBUTANE, CIS-2-BUTENE AND TRANS-2-BUTENE BELOW THE ICE POINT;Kamath, V. A. and Holder, G. D.[Gerald D.];Annual AIChE Meeting, Los Angeles, CA, November;1982;272.23;124.55;0.0;0.505;0.0;0.0;0.0;0.0;0.0;0;1;0;0;0;1;1;0;0;1;1;0;0;0
492;Dataset 71;THE HYDRATES OF PROPANE/N-BUTANE, PROPANE/TRANS-2-BUTENE, PROPANE/ISOBUTANE, CIS-2-BUTENE AND TRANS-2-BUTENE BELOW THE ICE POINT;Kamath, V. A. and Holder, G. D.[Gerald D.];Annual AIChE Meeting, Los Angeles, CA, November;1982;272.23;130.05;0.0;0.498;0.0;0.0;0.0;0.0;0.0;0;1;0;0;0;1;1;0;0;1;1;0;0;0
493;Dataset 71;THE HYDRATES OF PROPANE/N-BUTANE, PROPANE/TRANS-2-BUTENE, PROPANE/ISOBUTANE, CIS-2-BUTENE AND TRANS-2-BUTENE BELOW THE ICE POINT;Kamath, V. A. and Holder, G. D.[Gerald D.];Annual AIChE Meeting, Los Angeles, CA, November;1982;272.13;137.09;0.0;0.81;0.0;0.0;0.0;0.0;0.0;0;1;0;0;0;1;1;0;0;1;1;0;0;0
494;Dataset 71;THE HYDRATES OF PROPANE/N-BUTANE, PROPANE/TRANS-2-BUTENE, PROPANE/ISOBUTANE, CIS-2-BUTENE AND TRANS-2-BUTENE BELOW THE ICE POINT;Kamath, V. A. and Holder, G. D.[Gerald D.];Annual AIChE Meeting, Los Angeles, CA, November;1982;272.23;149.43;0.0;0.907;0.0;0.0;0.0;0.0;0.0;0;1;0;0;0;1;1;0;0;1;1;0;0;0
495;Dataset 71;THE HYDRATES OF PROPANE/N-BUTANE, PROPANE/TRANS-2-BUTENE, PROPANE/ISOBUTANE, CIS-2-BUTENE AND TRANS-2-BUTENE BELOW THE ICE POINT;Kamath, V. A. and Holder, G. D.[Gerald D.];Annual AIChE Meeting, Los Angeles, CA, November;1982;272.18;149.24;0.0;0.909;0.0;0.0;0.0;0.0;0.0;0;1;0;0;0;1;1;0;0;1;1;0;0;0
496;Dataset 71;THE HYDRATES OF PROPANE/N-BUTANE, PROPANE/TRANS-2-BUTENE, PROPANE/ISOBUTANE, CIS-2-BUTENE AND TRANS-2-BUTENE BELOW THE ICE POINT;Kamath, V. A. and Holder, G. D.[Gerald D.];Annual AIChE Meeting, Los Angeles, CA, November;1982;272.13;152.04;0.0;0.958;0.0;0.0;0.0;0.0;0.0;0;1;0;0;0;1;1;0;0;1;1;0;0;0
497;Dataset 71;THE HYDRATES OF PROPANE/N-BUTANE, PROPANE/TRANS-2-BUTENE, PROPANE/ISOBUTANE, CIS-2-BUTENE AND TRANS-2-BUTENE BELOW THE ICE POINT;Kamath, V. A. and Holder, G. D.[Gerald D.];Annual AIChE Meeting, Los Angeles, CA, November;1982;272.08;152.13;0.0;0.958;0.0;0.0;0.0;0.0;0.0;0;1;0;0;0;1;1;0;0;1;1;0;0;0
498;Dataset 71;THE HYDRATES OF PROPANE/N-BUTANE, PROPANE/TRANS-2-BUTENE, PROPANE/ISOBUTANE, CIS-2-BUTENE AND TRANS-2-BUTENE BELOW THE ICE POINT;Kamath, V. A. and Holder, G. D.[Gerald D.];Annual AIChE Meeting, Los Angeles, CA, November;1982;272.18;153.7;0.0;0.9590000000000001;0.0;0.0;0.0;0.0;0.0;0;1;0;0;0;1;1;0;0;1;1;0;0;0
499;Dataset 71;THE HYDRATES OF PROPANE/N-BUTANE, PROPANE/TRANS-2-BUTENE, PROPANE/ISOBUTANE, CIS-2-BUTENE AND TRANS-2-BUTENE BELOW THE ICE POINT;Kamath, V. A. and Holder, G. D.[Gerald D.];Annual AIChE Meeting, Los Angeles, CA, November;1982;272.12;171.32;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0;1;0;0;0;1;1;0;0;1;1;0;0;0
500;Dataset 742;MEASUREMENT OF MULTIPHASE GAS HYDRATE PHASE EQUILIBRIA: EFFECT OF INHIBITORS AND HEAVIER HYDROCARBON COMPONENTS;Patil, S. L.;Master of Science Thesis, University of Alaska, Fairbanks, Alaska;1987;275.25;213.0555;0.0;0.1124;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;1;0;0;0;1;0;0;0;0
501;Dataset 742;MEASUREMENT OF MULTIPHASE GAS HYDRATE PHASE EQUILIBRIA: EFFECT OF INHIBITORS AND HEAVIER HYDROCARBON COMPONENTS;Patil, S. L.;Master of Science Thesis, University of Alaska, Fairbanks, Alaska;1987;275.85;282.695;0.0;0.2706;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;1;0;0;0;1;0;0;0;0
502;Dataset 742;MEASUREMENT OF MULTIPHASE GAS HYDRATE PHASE EQUILIBRIA: EFFECT OF INHIBITORS AND HEAVIER HYDROCARBON COMPONENTS;Patil, S. L.;Master of Science Thesis, University of Alaska, Fairbanks, Alaska;1987;276.55;355.0925;0.0;0.4745;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;1;0;0;0;1;0;0;0;0
503;Dataset 742;MEASUREMENT OF MULTIPHASE GAS HYDRATE PHASE EQUILIBRIA: EFFECT OF INHIBITORS AND HEAVIER HYDROCARBON COMPONENTS;Patil, S. L.;Master of Science Thesis, University of Alaska, Fairbanks, Alaska;1987;276.65;365.435;0.0;0.4883;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;1;0;0;0;1;0;0;0;0
504;Dataset 742;MEASUREMENT OF MULTIPHASE GAS HYDRATE PHASE EQUILIBRIA: EFFECT OF INHIBITORS AND HEAVIER HYDROCARBON COMPONENTS;Patil, S. L.;Master of Science Thesis, University of Alaska, Fairbanks, Alaska;1987;277.15;426.111;0.0;0.653;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;1;0;0;0;1;0;0;0;0
505;Dataset 742;MEASUREMENT OF MULTIPHASE GAS HYDRATE PHASE EQUILIBRIA: EFFECT OF INHIBITORS AND HEAVIER HYDROCARBON COMPONENTS;Patil, S. L.;Master of Science Thesis, University of Alaska, Fairbanks, Alaska;1987;277.85;490.92400000000004;0.0;0.7935;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;1;0;0;0;1;0;0;0;0
506;Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;284.82;4268.0;0.0;0.0;0.945;0.0;0.0;0.0;0.0;0;1;1;0;1;1;0;0;1;0;0;0;0;0
507;Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;276.26;1151.0;0.0;0.0;0.94;0.0;0.0;0.0;0.0;0;1;1;0;1;1;0;0;1;0;0;0;0;0
508;Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;273.82;814.0;0.0;0.0;0.93;0.0;0.0;0.0;0.0;0;1;1;0;1;1;0;0;1;0;0;0;0;0
509;Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;283.71;3178.0;0.0;0.0;0.92;0.0;0.0;0.0;0.0;0;1;1;0;1;1;0;0;1;0;0;0;0;0
510;Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;281.71;2186.0;0.0;0.0;0.92;0.0;0.0;0.0;0.0;0;1;1;0;1;1;0;0;1;0;0;0;0;0
511;Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;273.93;676.0;0.0;0.0;0.92;0.0;0.0;0.0;0.0;0;1;1;0;1;1;0;0;1;0;0;0;0;0
512;Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;283.48;3034.0;0.0;0.0;0.91;0.0;0.0;0.0;0.0;0;1;1;0;1;1;0;0;1;0;0;0;0;0
513;Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;280.37;1772.0;0.0;0.0;0.91;0.0;0.0;0.0;0.0;0;1;1;0;1;1;0;0;1;0;0;0;0;0
514;Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;278.87;1455.0;0.0;0.0;0.91;0.0;0.0;0.0;0.0;0;1;1;0;1;1;0;0;1;0;0;0;0;0
515;Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;278.32;1255.0;0.0;0.0;0.9;0.0;0.0;0.0;0.0;0;1;1;0;1;1;0;0;1;0;0;0;0;0
516;Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;280.93;1572.0;0.0;0.0;0.87;0.0;0.0;0.0;0.0;0;1;1;0;1;1;0;0;1;0;0;0;0;0
517;Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;273.82;517.0;0.0;0.0;0.87;0.0;0.0;0.0;0.0;0;1;1;0;1;1;0;0;1;0;0;0;0;0
518;Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;279.43;1207.0;0.0;0.0;0.86;0.0;0.0;0.0;0.0;0;1;1;0;1;1;0;0;1;0;0;0;0;0
519;Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;275.37;827.0;0.0;0.0;0.85;0.0;0.0;0.0;0.0;0;1;1;0;1;1;0;0;1;0;0;0;0;0
520;Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;276.48;758.0;0.0;0.0;0.85;0.0;0.0;0.0;0.0;0;1;1;0;1;1;0;0;1;0;0;0;0;0
521;Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;286.15;3378.0;0.0;0.0;0.84;0.0;0.0;0.0;0.0;0;1;1;0;1;1;0;0;1;0;0;0;0;0
522;Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;273.98;359.0;0.0;0.0;0.79;0.0;0.0;0.0;0.0;0;1;1;0;1;1;0;0;1;0;0;0;0;0
523;Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;278.04;710.0;0.0;0.0;0.77;0.0;0.0;0.0;0.0;0;1;1;0;1;1;0;0;1;0;0;0;0;0
524;Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;277.37;655.0;0.0;0.0;0.76;0.0;0.0;0.0;0.0;0;1;1;0;1;1;0;0;1;0;0;0;0;0
525;Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;283.76;1917.0;0.0;0.0;0.75;0.0;0.0;0.0;0.0;0;1;1;0;1;1;0;0;1;0;0;0;0;0
526;Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;280.21;979.0;0.0;0.0;0.75;0.0;0.0;0.0;0.0;0;1;1;0;1;1;0;0;1;0;0;0;0;0
527;Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;281.82;1303.0;0.0;0.0;0.74;0.0;0.0;0.0;0.0;0;1;1;0;1;1;0;0;1;0;0;0;0;0
528;Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;275.65;414.0;0.0;0.0;0.578;0.0;0.0;0.0;0.0;0;1;1;0;1;1;0;0;1;0;0;0;0;0
529;Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;278.59;689.0;0.0;0.0;0.525;0.0;0.0;0.0;0.0;0;1;1;0;1;1;0;0;1;0;0;0;0;0
530;Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;281.09;1069.0;0.0;0.0;0.52;0.0;0.0;0.0;0.0;0;1;1;0;1;1;0;0;1;0;0;0;0;0
531;Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;279.71;793.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0;1;1;0;1;1;0;0;1;0;0;0;0;0
532;Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;274.82;324.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0;1;1;0;1;1;0;0;1;0;0;0;0;0
533;Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;276.37;434.0;0.0;0.0;0.39;0.0;0.0;0.0;0.0;0;1;1;0;1;1;0;0;1;0;0;0;0;0
534;Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;279.59;752.0;0.0;0.0;0.37;0.0;0.0;0.0;0.0;0;1;1;0;1;1;0;0;1;0;0;0;0;0
535;Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;278.26;579.0;0.0;0.0;0.35;0.0;0.0;0.0;0.0;0;1;1;0;1;1;0;0;1;0;0;0;0;0
536;Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;275.21;303.0;0.0;0.0;0.28;0.0;0.0;0.0;0.0;0;1;1;0;1;1;0;0;1;0;0;0;0;0
537;Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;279.04;593.0;0.0;0.0;0.18;0.0;0.0;0.0;0.0;0;1;1;0;1;1;0;0;1;0;0;0;0;0
538;Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;278.21;503.0;0.0;0.0;0.17;0.0;0.0;0.0;0.0;0;1;1;0;1;1;0;0;1;0;0;0;0;0
539;Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;279.09;641.0;0.0;0.0;0.17;0.0;0.0;0.0;0.0;0;1;1;0;1;1;0;0;1;0;0;0;0;0
540;Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;277.76;476.0;0.0;0.0;0.16;0.0;0.0;0.0;0.0;0;1;1;0;1;1;0;0;1;0;0;0;0;0
541;Dataset 180;Hydrates in the Propane -  carbon Dioxide - Water System;Robinson, D. B.[Donald B.] and Mehta, B. R.;J. Can. Petro. 10, 33 ( - 35);1971;275.98;338.0;0.0;0.0;0.14;0.0;0.0;0.0;0.0;0;1;1;0;1;1;0;0;1;0;0;0;0;0
